Country/Region,Province,Date,Type,Reference
US,Texas,02/04/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Utah,,None,
US,Vermont,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Virgin Islands,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States_Virgin_Islands
US,Virginia,30/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Washington,23/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,West Virginia,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Wisconsin,25/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Wyoming,,None,
Uzbekistan,,20/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uzbekistan
Vatican City,,10/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vatican_City
Venezuela,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Venezuela
Vietnam,,19/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vietnam
West Bank and Gaza,,05/03/2020,Full,
Zambia,,,None,
Zimbabwe,,27/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Zimbabwe
